datestamp,ner_accuracy_f1
1/1/2023,0.8
1/2/2023,0.8
1/3/2023,1
1/4/2023,0.9
1/5/2023,0.9
1/6/2023,0.8
1/7/2023,0.9
1/8/2023,1
1/9/2023,0.7
1/10/2023,0.9
1/11/2023,1
1/12/2023,0.7
1/13/2023,0.7
1/14/2023,0.9
1/15/2023,0.7
1/16/2023,0.9
1/17/2023,1
1/18/2023,1
1/19/2023,0.7
1/20/2023,0.8
1/21/2023,0.8
1/22/2023,0.9
1/23/2023,0.7
1/24/2023,0.9
1/25/2023,0.9
1/26/2023,0.8
1/27/2023,1
1/28/2023,1
1/29/2023,0.8
1/30/2023,0.8
1/31/2023,0.9
2/1/2023,0.7
2/2/2023,0.7
2/3/2023,0.9
2/4/2023,0.9
2/5/2023,0.7
2/6/2023,0.7
2/7/2023,0.8
2/8/2023,0.9
2/9/2023,1
2/10/2023,1
2/11/2023,0.9
2/12/2023,0.7
2/13/2023,0.9
2/14/2023,0.7
2/15/2023,0.9
2/16/2023,1
2/17/2023,0.8
2/18/2023,0.9
2/19/2023,1
2/20/2023,0.9
2/21/2023,0.7
2/22/2023,0.9
2/23/2023,1
2/24/2023,0.9
2/25/2023,1
2/26/2023,1
2/27/2023,0.8
2/28/2023,1
3/1/2023,1
3/2/2023,0.7
3/3/2023,0.9
3/4/2023,1
3/5/2023,0.7
3/6/2023,0.9
3/7/2023,0.7
3/8/2023,1
3/9/2023,0.8
3/10/2023,0.9
3/11/2023,0.8
3/12/2023,0.7
3/13/2023,0.7
3/14/2023,0.8
3/15/2023,1
3/16/2023,1
3/17/2023,1
3/18/2023,0.9
3/19/2023,0.7
3/20/2023,0.7
3/21/2023,0.8
3/22/2023,0.9
3/23/2023,0.9
3/24/2023,1
3/25/2023,1
3/26/2023,0.9
3/27/2023,0.7
3/28/2023,0.7
3/29/2023,1
3/30/2023,0.9
3/31/2023,1
4/1/2023,1
4/2/2023,0.7
4/3/2023,0.9
4/4/2023,1
4/5/2023,1
4/6/2023,0.7
4/7/2023,1
